Order_ID,Order_Date,Region,Category,Product,Month,Quantity,Unit_Price,Discount_%,Sales,Profit,Customer_Type,Payment_Mode
ORD1001,2026-01-01,South,Furniture,Webcam,January,13,38947,20,506311,65500.89,Corporate,UPI
ORD1002,2026-01-02,East,Furniture,Pen Set,May,8,37175,15,297400,41472.98,Corporate,Card
ORD1003,2026-01-03,East,Electronics,Office Chair,August,12,6822,0,81864,13700.24,Individual,Cash
ORD1004,2026-01-04,North,Accessories,Webcam,November,11,2049,20,22539,2411.95,Small Business,Cash
ORD1005,2026-01-05,South,Accessories,Office Chair,November,6,39718,0,238308,48932.44,Individual,Net Banking
ORD1006,2026-01-06,South,Office Supplies,Printer,September,2,23551,15,47102,10730.66,Small Business,UPI
ORD1007,2026-01-07,South,Office Supplies,Keyboard,December,5,33137,0,165685,11504.58,Individual,Card
ORD1008,2026-01-08,North,Electronics,Monitor,October,1,38181,0,38181,6877.32,Corporate,Cash
ORD1009,2026-01-09,North,Accessories,Printer,December,12,38061,0,456732,70930.55,Corporate,Net Banking
ORD1010,2026-01-10,West,Electronics,Laptop,August,6,46837,5,281022,24703.22,Corporate,UPI
ORD1011,2026-01-11,West,Electronics,Smartphone,June,1,9882,20,9882,1520.59,Small Business,Net Banking
ORD1012,2026-01-12,South,Furniture,Smartphone,December,4,18819,5,75276,5204.23,Small Business,UPI
ORD1013,2026-01-13,North,Electronics,Headphones,May,9,10152,20,91368,6032.26,Small Business,Card
ORD1014,2026-01-14,North,Accessories,Printer,May,12,18820,20,225840,22315.08,Individual,Net Banking
ORD1015,2026-01-15,East,Electronics,Printer,July,9,872,0,7848,2196.97,Corporate,Cash
ORD1016,2026-01-16,East,Electronics,Notebook,December,1,43263,20,43263,9598.32,Small Business,Cash
ORD1017,2026-01-17,South,Furniture,Pen Set,July,4,25326,0,101304,11630.68,Corporate,Card
ORD1018,2026-01-18,West,Office Supplies,Webcam,July,15,44709,15,670635,138917.02,Individual,UPI
ORD1019,2026-01-19,North,Office Supplies,Notebook,May,3,37780,5,113340,28102.26,Individual,Net Banking
ORD1020,2026-01-20,South,Office Supplies,Monitor,July,3,22521,15,67563,11946.54,Small Business,Net Banking
ORD1021,2026-01-21,West,Electronics,Tablet,November,13,22401,5,291213,72794.54,Individual,Net Banking
ORD1022,2026-01-22,North,Electronics,Office Chair,April,2,41505,10,83010,12079.03,Individual,UPI
ORD1023,2026-01-23,West,Office Supplies,Tablet,June,8,43971,10,351768,28117.79,Small Business,Net Banking
